from_stop_id,to_stop_id,transfer_type,min_transfer_time
4211780,2270,2,187
7376288,2469,2,193
4472773,1724,2,225
3619167,2276,2,312
1724,4035038,2,210
4045008,1827,2,389
4015724,2202,2,213
1724,4035039,2,210
6904254,1741,2,270
7376189,1948,2,181
2469,1715,2,480
4015727,1947,2,271
3926189,2366,2,432
1826,1827,2,370
3764747,1827,2,418
4459240,2469,2,235
3747810,1724,2,195
5158053,2202,2,200
6741293,140079,2,211
6741293,140078,2,211
7137434,2009,2,256
3747810,2469,2,195
3926190,2366,2,460
4009616,2366,2,226
4016039,1872,2,292
7137422,2284,2,225
7260970,2462,2,258
1723,2469,2,149
4037283,2469,2,226
3764755,1948,2,225
4016358,1724,2,242
1662795,6449043,2,209
1662795,6449044,2,192
2144,3811240,2,229
5761302,1717,2,222
2144,3811241,2,210
1723,1724,2,141
4726762,2366,2,431
7312150,2224,2,318
4799004,2462,2,205
4016608,2270,2,279
4016044,1947,2,191
3812933,1928,2,243
4016617,2270,2,198
3813115,2366,2,418
5250730,2268,2,321
7260969,1717,2,207
7376190,1827,2,395
4009539,2253,2,251
5091987,2270,2,265
3747809,2469,2,195
3764966,1827,2,235
5158084,2165,2,212
3813119,1928,2,221
4009642,2469,2,252
3442453,2275,2,309
3343762,2293,2,180
6591516,2366,2,396
4211813,1717,2,258
4036739,2536,2,201
3807589,2253,2,243
4726757,2464,2,214
4045009,2366,2,432
2363,2366,2,289
5158081,1724,2,226
7647742,1741,2,213
4037297,1827,2,431
7691418,2268,2,260
5018185,2284,2,235
7661329,1874,2,265
4016024,1872,2,292
4799005,1717,2,210
7376193,1827,2,396
4008888,2469,2,210
3813122,2464,2,207
4037002,2366,2,431
5018192,1724,2,226
3740558,1820,2,244
3887782,1928,2,243
2025,2544,2,59
2364,1827,2,126
5762004,2419,2,270
1656,4016287,2,201
1656,4016288,2,216
5762009,1872,2,321
5761999,2009,2,212
3764966,2366,2,235
4008837,1724,2,252
3926217,1724,2,207
7376191,2366,2,252
5158064,2419,2,270
3442433,1827,2,387
5762008,2268,2,210
4473147,2366,2,431
4009620,1827,2,460
4037002,1827,2,431
4009537,1928,2,251
3926176,2427,2,218
4472777,2419,2,270
3813058,1928,2,221
6591472,2366,2,460
5657268,1724,2,205
6591473,1827,2,432
4016798,2202,2,214
7627552,2224,2,274
5121388,2203,2,271
4016617,1874,2,198
7275116,1874,2,188
4016343,2536,2,217
5150757,2203,2,264
4017047,2268,2,229
4036741,1796,2,273
3764784,2366,2,418
5762020,1796,2,203
3749916,1724,2,226
5158045,1662797,2,225
5158045,1662798,2,225
4726963,2469,2,200
5158063,2419,2,234
3764747,2366,2,418
3442449,2427,2,220
4758934,1741,2,234
3749691,2469,2,252
7170678,2366,2,395
3764735,1820,2,244
4472753,2202,2,193
3926176,1749,2,218
1796,4016285,2,199
6000769,2224,2,255
3740559,1724,2,225
4016616,1959,2,197
3764708,2366,2,260
5121383,1827,2,258
4016359,2469,2,207
3749689,1724,2,215
6741426,140078,2,224
6741426,140079,2,224
4758992,2270,2,256
5121373,1827,2,254
4016112,2268,2,221
3765153,1724,2,226
4036731,2419,2,234
1166841,1724,2,180
3343762,1897,2,180
6591475,1827,2,254
3812933,2253,2,243
4016343,1656,2,217
5761300,1717,2,228
7647736,1748,2,234
4211770,2462,2,219
4017011,2270,2,318
4037280,1796,2,273
4037296,2366,2,460
6961983,2419,2,284
3749689,2469,2,215
3893335,1724,2,187
5158071,1656,2,216
4022956,2359,2,212
4009536,1928,2,251
4008888,1724,2,210
4016356,1796,2,275
6217417,1724,2,252
2405,2406,2,125
7260969,2462,2,207
4037000,2366,2,460
7275120,1959,2,198
7170677,2366,2,395
3764735,2359,2,244
4045007,1827,2,225
7336791,2202,2,213
